Thiết bị các môn thể thao bóng/Bóng đá,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Áo thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Cầu lông,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Yoga & Pilates,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị thể thao dưới nước/Lướt ván,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Forbid,Mandatory,Mandatory,Optional
Giày thể thao/Giày khiêu vũ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Tennis,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Điền kinh trong sân vận động,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Quyền anh & Võ thuật,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Judo,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Đấu vật,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Taekwondo,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bida & Snooker,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Vòng lắc eo,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Tập bụng,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Bóng tập gym,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Máy đếm bước chân,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Dây nhảy,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bóng bàn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bóng chuyền,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Cưỡi ngựa,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Trượt ván,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bóng rổ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Golf,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày chơi gôn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị thể thao mùa đông/Khúc côn cầu trên băng,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bóng quần,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bowling,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Thiết bị các môn thể thao bóng/Bóng chày,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Optional,Optional,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Mũ thể thao & ngoài trời,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Túi thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Quần jogger,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Bộ quần áo thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Đồ mặc ngoài theo phong cách thể thao & áo hoodie,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Áo lót thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng chày,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng rổ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng chuyền,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày chạy bộ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày chơi tennis,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày cầu lông,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng đá,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Câu cá,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Dao & Bộ dụng cụ sinh tồn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Giày thể thao/Giày đi bộ đường dài,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Đồ bảo hộ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Đồ dùng bếp cắm trại,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Võng,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Đèn cắm trại,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
